hip,hd,bayer,flam,con,mag,dist
79072,145002,,47,Ser,5.69,247.5248
79101,145389,Phi,11,Her,4.23,62.5391
79102,145122,,8,Her,6.13,97.7517
79119,145328,Tau,16,CrB,4.73,35.7782
79153,144480,Iot-2,,Nor,5.57,85.8369
79248,145675,,14,Her,6.61,17.5716
79280,146926,,19,UMi,5.48,189.3939
79349,145713,,10,Her,5.74,209.205
79374,145502,Nu,14,Sco,4.0,145.3488
79375,145570,Psi,15,Sco,4.93,47.7099
79387,145607,,16,Sco,5.43,77.3994
79399,145483,,12,Sco,5.67,93.0233
79404,145482,,13,Sco,4.58,146.8429
79420,147142,,20,UMi,6.36,200.4008
79488,145892,,9,Her,5.46,121.8027
79497,145361,Zet,,Nor,5.78,66.7557
79509,145397,Kap,,Nor,4.95,131.2336
79540,145897,Chi,17,Sco,5.24,116.0093
79593,146051,Del,1,Oph,2.73,52.4659
79607,146361,Sig,17,CrB,5.23,21.0793
79608,146169,,12,Her,6.59,234.7418
79634,146279,,13,Her,7.55,94.7867
79653,145842,The,,Nor,5.13,118.2033
79664,145544,Del,,TrA,3.86,186.2197
79666,146388,,16,Her,5.72,106.6098
79672,146233,,18,Sco,5.49,13.9005
79704,146452,,15,Her,7.26,276.2431
79724,146604,,17,Her,6.57,143.0615
79757,146738,Ups,18,CrB,5.8,204.499
79790,146143,Gam-1,,Nor,4.97,450.4505
79822,148048,Eta,21,UMi,4.95,29.7354
79846,146915,,18,Her,7.2,302.1148
79882,146791,Eps,2,Oph,3.23,32.6371
79889,147025,,19,Her,6.7,135.6852
79963,146667,Lam,,Nor,5.44,106.9519
79992,147394,Tau,22,Her,3.91,94.2507
80000,146686,Gam-2,,Nor,4.01,39.4789
80047,145366,Del-1,,Aps,4.68,233.6449
80057,145388,Del-2,,Aps,5.27,187.9699
80079,147084,Omi,19,Sco,4.55,269.5418
80112,147165,Sig,20,Sco,2.9,213.6752
80170,147547,Gam,20,Her,3.74,59.0667
80179,147449,Sig,50,Ser,4.82,27.2702
80181,147677,Xi,19,CrB,4.86,56.243
80197,147749,Nu-1,20,CrB,5.2,196.4637
80214,147767,Nu-2,21,CrB,5.4,182.1494
80331,148387,Eta,14,Dra,2.73,28.2326
80343,147700,Psi,4,Oph,4.48,61.1621
80351,147869,,21,Her,5.83,112.3596
80460,148283,,25,Her,5.53,74.4602
80463,148112,Ome,24,Her,4.57,76.6871
80473,147933,Rho,5,Oph,4.57,110.742
80569,148184,Chi,7,Oph,4.22,161.0306
80582,147971,Eps,,Nor,4.46,162.6016
80628,148367,Ups,3,Oph,4.62,40.95
80645,147787,Iot,,TrA,5.28,38.8048
80648,148616,,26,Her,6.87,173.6111
80650,149212,,15,Dra,4.94,149.2537
80686,147584,Zet,,TrA,4.9,12.1168
80704,148783,,30,Her,4.83,108.5776
80763,148478,Alp,21,Sco,1.06,169.7793
80809,149081,,34,Her,6.44,101.4199
80815,148605,,22,Sco,4.79,126.7427
80816,148856,Bet,27,Her,2.78,42.6621
80883,148857,Lam,10,Oph,3.82,53.0786
80894,148786,Phi,8,Oph,4.29,74.6826
80927,149141,,31,Her,7.09,125.9446
80975,148898,Ome,9,Oph,4.45,51.7063
81007,149121,,28,Her,5.63,118.3432
81008,149161,,29,Her,4.84,107.6426
81065,147675,Gam,,Aps,3.86,47.9157
81066,149420,,32,Her,6.87,170.6485
81122,149038,Mu,,Nor,4.86,100000.0
81126,149630,Sig,35,Her,4.2,96.5251
81252,148890,The,,TrA,5.5,104.9318
